Order_ID,Date,Customer_Segment,Drone_Model,Delivery_Time_Min,Order_Value_USD,Distance_KM,Weather_Condition,Traffic_Density,Customer_Rating,Kitchen_ID,Promo_Code_Used,Refund_Issued,Late_Delivery
NN-1000,2025-02-13,VIP,Eco-Glide,29,87.9,5.67,Stormy,Medium,1.0,KITCH-5,Yes,Yes,False
NN-1000,2025-04-15,VIP,Swift-X,23,93.43,3.75,Clear,High,1.0,KITCH-4,No,No,False
NN-1000,2025-03-31,Individual,Swft-X,31,162.48,13.49,Stormy,High,1.0,KITCH-2,Yes,Yes,False
NN-1000,2025-08-14,Individual,Swft-X,40,118.0,6.97,High Winds,High,5.0,KITCH-1,No,No,True
NN-1000,2025-06-14,VIP,Heavy-Lift,22,108.1,6.9,High Winds,Low,3.0,KITCH-5,No,No,False
NN-1000,2025-01-07,Corporate,Swft-X,22,209.54,3.63,Clear,Medium,4.0,KITCH-2,Yes,Yes,False
NN-1000,2025-12-27,Corporate,Swift-X,40,211.0,6.68,Clear,Medium,4.0,KITCH-1,No,Yes,True
NN-1000,2025-10-19,Corporate,Heavy-Lift,32,255.25,13.66,Rainy,Medium,2.0,KITCH-4,Yes,No,False
NN-1000,2025-12-15,Corporate,Eco-Glide,20,151.52,6.39,Rainy,Low,4.0,KITCH-4,Yes,No,False
NN-1000,2025-07-18,VIP,Eco-Glide,30,63.64,14.81,Stormy,Medium,2.0,KITCH-1,No,Yes,False
NN-1000,2025-04-15,VIP,Swift-X,20,114.78,14.73,Clear,Low,4.0,KITCH-3,No,No,False
NN-1011,2025-12-25,VIP,Swift-X,20,294.9,3.27,High Winds,Medium,4.0,KITCH-3,Yes,Yes,False
NN-1012,2025-01-11,,Eco-Glide,27,197.05,3.74,Clear,Low,5.0,KITCH-4,No,Yes,False
NN-1013,2025-07-22,Individual,Swft-X,5,225.98,13.54,Rainy,Medium,,KITCH-4,Yes,Yes,False
NN-1014,2025-05-14,VIP,Swft-X,7,46.88,6.82,Rainy,High,4.0,KITCH-4,Yes,No,False
NN-1015,2025-12-08,VIP,Swft-X,19,177.14,1.26,Clear,Low,4.0,KITCH-1,Yes,No,False
NN-1016,2025-11-20,Corporate,Eco-Glide,14,54.57,5.12,Clear,Low,2.0,KITCH-4,Yes,Yes,False
NN-1017,2025-01-02,Corporate,Eco-Glide,28,190.15,9.75,Stormy,High,,KITCH-4,No,No,False
NN-1018,2025-04-12,Individual,Eco-Glide,15,279.8,12.63,Clear,High,1.0,KITCH-2,Yes,Yes,False
NN-1019,2025-08-26,,Swft-X,10,291.95,3.11,High Winds,Medium,5.0,KITCH-3,No,No,False
NN-1020,2025-07-05,Corporate,Swft-X,39,182.84,2.78,Rainy,Medium,4.0,KITCH-2,No,No,True
NN-1021,2025-04-28,,Heavy-Lift,22,161.84,14.39,Clear,Medium,3.0,KITCH-5,Yes,Yes,False
NN-1022,2025-09-29,,Heavy-Lift,25,285.98,11.94,Clear,Low,1.0,KITCH-1,Yes,Yes,False
NN-1023,2025-11-20,VIP,Swift-X,10,216.77,9.63,Stormy,High,3.0,KITCH-2,Yes,Yes,False
NN-1024,2025-07-27,Corporate,Eco-Glide,19,61.55,12.2,High Winds,Low,1.0,KITCH-4,Yes,No,False
NN-1025,2025-11-22,VIP,Heavy-Lift,26,163.76,7.33,Clear,High,5.0,KITCH-4,Yes,Yes,False
NN-1026,2025-06-30,Individual,Swft-X,13,106.26,12.05,High Winds,Medium,3.0,KITCH-2,No,Yes,False
NN-1027,2025-04-27,Individual,Swft-X,28,164.8,6.52,Clear,Low,4.0,KITCH-4,No,No,False
NN-1028,2025-01-07,Corporate,Swft-X,18,161.14,4.69,Clear,Low,5.0,KITCH-3,Yes,No,False
NN-1029,2025-07-27,Individual,Swft-X,22,193.45,11.62,High Winds,Medium,5.0,KITCH-3,Yes,No,False
NN-1030,2025-10-06,Corporate,Swift-X,999,135.98,7.2,Stormy,High,1.0,KITCH-4,Yes,No,True
NN-1031,2025-10-20,,Heavy-Lift,43,86.89,15.23,Clear,Medium,2.0,KITCH-1,Yes,No,True
NN-1032,2025-12-09,VIP,Eco-Glide,24,173.45,6.2,High Winds,High,2.0,KITCH-5,No,Yes,False
NN-1033,2025-07-28,VIP,Heavy-Lift,14,256.7,14.38,Clear,High,,KITCH-4,No,Yes,False
NN-1034,2025-06-07,,Eco-Glide,33,214.32,14.54,Clear,Low,4.0,KITCH-5,No,No,False
NN-1035,2025-06-02,,Heavy-Lift,12,131.28,4.66,Clear,Medium,1.0,KITCH-2,No,No,False
NN-1036,2025-02-01,Individual,Swift-X,27,283.56,12.61,Clear,Low,2.0,KITCH-5,No,Yes,False
NN-1037,2025-12-01,VIP,Eco-Glide,5,277.61,7.39,Rainy,High,,KITCH-5,Yes,No,False
NN-1038,2025-02-05,Corporate,Heavy-Lift,11,98.38,14.32,High Winds,Medium,3.0,KITCH-5,No,No,False
NN-1039,2025-02-06,VIP,Heavy-Lift,26,55.05,7.64,Stormy,Low,2.0,KITCH-5,No,Yes,False
NN-1040,2025-11-27,Corporate,Swft-X,32,234.03,11.84,High Winds,High,4.0,KITCH-1,No,Yes,False
NN-1041,2025-04-30,VIP,Swft-X,26,256.04,7.88,Rainy,Medium,4.0,KITCH-5,No,No,False
NN-1042,2025-11-10,,Swift-X,23,291.81,4.46,Stormy,Low,4.0,KITCH-2,No,No,False
NN-1043,2025-09-15,VIP,Swft-X,21,271.91,4.05,High Winds,Medium,,KITCH-3,No,No,False
NN-1044,2025-08-29,,Swft-X,10,198.14,7.28,Clear,Medium,,KITCH-5,No,No,False
NN-1045,2025-11-26,Corporate,Swft-X,17,180.16,12.0,Stormy,Low,2.0,KITCH-5,Yes,No,False
NN-1046,2025-08-02,Individual,Heavy-Lift,20,52.1,9.85,High Winds,Low,4.0,KITCH-4,No,Yes,False
NN-1047,2025-11-14,Corporate,Eco-Glide,35,107.9,11.05,High Winds,Low,1.0,KITCH-4,Yes,No,False
NN-1048,2025-05-04,Individual,Heavy-Lift,28,162.2,5.24,Rainy,Medium,3.0,KITCH-4,Yes,Yes,False
NN-1049,2025-07-21,VIP,Swift-X,7,205.27,8.08,Clear,Medium,1.0,KITCH-3,No,No,False
NN-1050,2025-05-08,Corporate,Swift-X,28,187.1,1.83,Stormy,High,1.0,KITCH-2,Yes,No,False
NN-1051,2025-03-11,Individual,Eco-Glide,21,234.37,12.89,High Winds,Low,3.0,KITCH-2,No,No,False
NN-1052,2025-12-10,VIP,Swift-X,18,116.34,15.36,Clear,Low,1.0,KITCH-4,No,Yes,False
NN-1053,2025-10-20,,Heavy-Lift,31,189.06,7.02,Clear,High,1.0,KITCH-5,No,Yes,False
NN-1054,2025-02-27,Individual,Eco-Glide,35,67.48,1.36,Rainy,Low,5.0,KITCH-4,Yes,No,False
NN-1055,2025-02-04,VIP,Swift-X,34,150.48,3.63,Stormy,High,1.0,KITCH-5,Yes,No,False
NN-1056,2025-05-29,,Swift-X,16,236.29,10.53,Stormy,Low,2.0,KITCH-5,No,No,False
NN-1057,2025-09-30,Corporate,Eco-Glide,21,221.82,9.95,Stormy,High,2.0,KITCH-4,No,No,False
NN-1058,2025-06-09,Corporate,Swft-X,28,297.61,12.47,Clear,Low,5.0,KITCH-3,No,Yes,False
NN-1059,2025-11-06,,Swift-X,34,115.86,4.83,Clear,High,5.0,KITCH-2,No,No,False
NN-1060,2025-01-15,,Swift-X,20,172.04,12.12,Rainy,Low,2.0,KITCH-2,No,Yes,False
NN-1061,2025-05-22,Individual,Heavy-Lift,23,129.03,11.04,Rainy,High,4.0,KITCH-2,No,No,False
NN-1062,2025-09-07,,Swft-X,13,157.35,5.82,Stormy,Medium,4.0,KITCH-4,Yes,No,False
NN-1063,2025-12-26,,Eco-Glide,13,263.52,9.0,Clear,Low,3.0,KITCH-5,Yes,Yes,False
NN-1064,2025-02-17,Individual,Swft-X,33,219.47,3.31,High Winds,Low,2.0,KITCH-3,Yes,No,False
NN-1065,2025-01-26,,Heavy-Lift,38,270.02,7.67,High Winds,Low,4.0,KITCH-4,Yes,No,True
NN-1066,2025-03-20,Individual,Heavy-Lift,24,96.9,13.8,Clear,High,5.0,KITCH-3,No,Yes,False
NN-1067,2025-12-17,,Swift-X,35,267.71,7.22,Clear,Medium,4.0,KITCH-3,Yes,Yes,False
NN-1068,2025-10-30,VIP,Eco-Glide,28,60.24,13.21,Stormy,Medium,,KITCH-3,Yes,Yes,False
NN-1069,2025-12-16,,Swft-X,18,271.59,9.64,Stormy,High,5.0,KITCH-1,No,No,False
NN-1070,2025-03-11,,Heavy-Lift,999,128.91,3.94,Stormy,Low,1.0,KITCH-2,Yes,Yes,True
NN-1071,2025-09-10,,Swft-X,40,125.22,9.51,Clear,High,3.0,KITCH-5,No,No,True
NN-1072,2025-08-15,,Eco-Glide,24,175.58,8.44,Rainy,Low,2.0,KITCH-4,No,Yes,False
