Order_ID,Date,Customer_Segment,Drone_Model,Delivery_Time_Min,Order_Value_USD,Distance_KM,Weather_Condition,Traffic_Density,Customer_Rating,Kitchen_ID,Promo_Code_Used,Refund_Issued,Late_Delivery
NN-1000,2025-02-13,VIP,Eco-Glide,29.0,87.9,5.67,Stormy,Medium,1.0,KITCH-5,Yes,Yes,False
NN-1000,2025-04-15,VIP,Swift-X,23.0,93.43,3.75,Clear,High,1.0,KITCH-4,No,No,False
NN-1000,2025-03-31,Individual,Swift-X,31.0,162.48,13.49,Stormy,High,1.0,KITCH-2,Yes,Yes,False
NN-1000,2025-08-14,Individual,Swift-X,40.0,118.0,6.97,High Winds,High,5.0,KITCH-1,No,No,True
NN-1000,2025-06-14,VIP,Heavy-Lift,22.0,108.1,6.9,High Winds,Low,3.0,KITCH-5,No,No,False
NN-1000,2025-01-07,Corporate,Swift-X,22.0,209.54,3.63,Clear,Medium,4.0,KITCH-2,Yes,Yes,False
NN-1000,2025-12-27,Corporate,Swift-X,40.0,211.0,6.68,Clear,Medium,4.0,KITCH-1,No,Yes,True
NN-1000,2025-10-19,Corporate,Heavy-Lift,32.0,255.25,13.66,Rainy,Medium,2.0,KITCH-4,Yes,No,False
NN-1000,2025-12-15,Corporate,Eco-Glide,20.0,151.52,6.39,Rainy,Low,4.0,KITCH-4,Yes,No,False
NN-1000,2025-07-18,VIP,Eco-Glide,30.0,63.64,14.81,Stormy,Medium,2.0,KITCH-1,No,Yes,False
NN-1000,2025-04-15,VIP,Swift-X,20.0,114.78,14.73,Clear,Low,4.0,KITCH-3,No,No,False
NN-1011,2025-12-25,VIP,Swift-X,20.0,294.9,3.27,High Winds,Medium,4.0,KITCH-3,Yes,Yes,False
NN-1012,2025-01-11,Unknown,Eco-Glide,27.0,197.05,3.74,Clear,Low,5.0,KITCH-4,No,Yes,False
NN-1013,2025-07-22,Individual,Swift-X,5.0,225.98,13.54,Rainy,Medium,3.0,KITCH-4,Yes,Yes,False
NN-1014,2025-05-14,VIP,Swift-X,7.0,46.88,6.82,Rainy,High,4.0,KITCH-4,Yes,No,False
NN-1015,2025-12-08,VIP,Swift-X,19.0,177.14,1.26,Clear,Low,4.0,KITCH-1,Yes,No,False
NN-1016,2025-11-20,Corporate,Eco-Glide,14.0,54.57,5.12,Clear,Low,2.0,KITCH-4,Yes,Yes,False
NN-1017,2025-01-02,Corporate,Eco-Glide,28.0,190.15,9.75,Stormy,High,3.0,KITCH-4,No,No,False
NN-1018,2025-04-12,Individual,Eco-Glide,15.0,279.8,12.63,Clear,High,1.0,KITCH-2,Yes,Yes,False
NN-1019,2025-08-26,Unknown,Swift-X,10.0,291.95,3.11,High Winds,Medium,5.0,KITCH-3,No,No,False
NN-1020,2025-07-05,Corporate,Swift-X,39.0,182.84,2.78,Rainy,Medium,4.0,KITCH-2,No,No,True
NN-1021,2025-04-28,Unknown,Heavy-Lift,22.0,161.84,14.39,Clear,Medium,3.0,KITCH-5,Yes,Yes,False
NN-1022,2025-09-29,Unknown,Heavy-Lift,25.0,285.98,11.94,Clear,Low,1.0,KITCH-1,Yes,Yes,False
NN-1023,2025-11-20,VIP,Swift-X,10.0,216.77,9.63,Stormy,High,3.0,KITCH-2,Yes,Yes,False
NN-1024,2025-07-27,Corporate,Eco-Glide,19.0,61.55,12.2,High Winds,Low,1.0,KITCH-4,Yes,No,False
NN-1025,2025-11-22,VIP,Heavy-Lift,26.0,163.76,7.33,Clear,High,5.0,KITCH-4,Yes,Yes,False
NN-1026,2025-06-30,Individual,Swift-X,13.0,106.26,12.05,High Winds,Medium,3.0,KITCH-2,No,Yes,False
NN-1027,2025-04-27,Individual,Swift-X,28.0,164.8,6.52,Clear,Low,4.0,KITCH-4,No,No,False
